id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
212,,article,118200656,Journal of Occupational Medicine and Toxicology,0,1.5.4,10.2,7,1,,5,,,,6,1686278912,1638796877,1638748800,25,0,25,0,1773
213,,article,138569527,,0,1.5.4,2.35,4,,,3,,,,3,1671122358,1668698905,1667952000,5,0,5,0,1782
214,,book,111234075,,0,1.5.4,15.05,22,,,19,,,,19,1630491576,1628196592,1609459200,10,0,10,0,1827
215,,article,50316898,Tijdschrift voor Medisch Onderwijs,0,1.5.4,2.35,3,,,3,,,,3,1540555824,1540547474,1540252800,19,0,19,0,1875
216,,chapter,77017573,,0,1.5.4,2.2,3,,,3,,,,3,1590801759,1583316271,1583193600,5,0,5,0,1876
217,,book,56255288,,0,1.5.4,2.35,3,,,3,,,,3,1687548314,1551475112,1522972800,108,0,108,0,1892
218,,article,45297126,,0,1.5.4,1.0,2,,,1,,,,1,1601495560,1532105227,1530489600,42,0,42,0,1932
219,,book,24404199,,0,1.5.4,9.5,11,,,10,,,,10,1579402830,1503860567,1483228800,57,1,56,0,1963
220,,article,3977888,,0,1.5.4,0.5,1,,,1,,,,1,1431062958,1431063033,1399939200,22,0,22,0,1984
221,,article,82454951,,0,1.5.4,0.25,1,,,,,,,1,1382714139,1590050151,1375315200,12,0,12,0,1987
222,,article,51133428,,0,1.5.4,1.0,1,,,1,,,,1,1542117982,1542117997,1468195200,18,3,15,0,2003
223,,article,18296278,,0,1.5.4,1.1,2,,,2,,,,2,1527586024,1490887603,1428883200,15,0,15,0,2006
224,,article,16860728,Journal of Food Protection,0,1.5.4,0.5,1,,,1,,,,1,1488326636,1488326649,1477958400,28,0,28,0,2040
225,,article,142994329,,0,1.5.4,1.0,1,,,1,,,,1,1677620975,1677620988,1674777600,5,0,5,0,2058
226,,article,121673616,Software Quality Journal,0,1.5.4,3.2,4,,,4,,,,4,1643335148,1643319483,1643241600,12,0,12,0,2094
227,,article,135268071,,0,1.5.4,1.0,1,,,1,,,,1,1662041368,1662041390,1661990400,6,0,6,0,2105
228,,article,3862288,,0,1.5.4,0.25,1,,,,1,,,1,1427963145,1427963172,820454400,3,0,3,0,2115
229,,article,137317042,Journal of Medical Internet Research,0,1.5.4,8.75,18,,,14,1,,,15,1667466635,1666022750,1665964800,15,0,15,0,2128
230,,article,128337870,Journal of Medical Internet Research,0,1.5.4,34.65,23,4,,13,2,,,19,1658861963,1652711960,1652659200,11,0,11,0,2139
231,,article,125113618,,0,1.5.4,1.0,1,,,1,,,,1,1670031860,1647955205,1638230400,26,0,26,0,2156
232,,article,108137566,IET Software,0,1.5.4,1.85,2,,,2,,,,2,1625452844,1624551946,1624406400,19,0,19,0,2159
233,,book,119057376,,0,1.5.4,2.5,4,,,3,,,,3,1695982147,1639634746,1640995200,3,0,3,0,2187
234,,article,119065330,The Biochemist,0,1.5.4,23.25,60,,,39,,,,39,1687197817,1639646536,1639353600,3,0,3,0,2207
235,,article,142561481,,0,1.5.4,0.5,1,,,1,,,,1,1676452811,1676452826,1655164800,1,0,1,0,2242
236,,chapter,51588311,,0,1.5.4,2.85,3,,,3,,,,3,1587181559,1542957532,1546300800,8,0,8,0,2380
237,,article,936947,,0,1.5.4,0.85,1,,,1,,,,1,1347217907,1347218137,1341100800,2,0,2,0,2520
